note_text,icd_code
Tuberculosis of other female genital organs ,A18.18
Tuberculosis of genitourinary system unspecified ,A18.10
Tuberculosis of skin and subcutaneous tissue ,A18.4
Tuberculosis of skin and subcutaneous tissue ,A18.4
Tuberculous peripheral lymphadenopathy ,A18.2
Tuberculosis of eye unspecified ,A18.50
Tuberculous episcleritis ,A18.51
Tuberculosis of (inner) (middle) ear ,A18.6
Tuberculosis of (inner) (middle) ear ,A18.6
Tuberculosis of (inner) (middle) ear ,A18.6
Tuberculosis of (inner) (middle) ear ,A18.6
Tuberculosis of (inner) (middle) ear ,A18.6
Tuberculosis of (inner) (middle) ear ,A18.6
Tuberculosis of (inner) (middle) ear ,A18.6
Tuberculosis of thyroid gland ,A18.81
Tuberculosis of adrenal glands ,A18.7
Tuberculosis of spleen ,A18.85
Tuberculosis of other sites ,A18.89
Tuberculosis of heart ,A18.84
Acute miliary tuberculosis unspecified ,A19.2
Other miliary tuberculosis ,A19.8
Miliary tuberculosis unspecified ,A19.9
Bubonic plague ,A20.0
Cellulocutaneous plague ,A20.1
Septicemic plague ,A20.7
Pneumonic plague ,A20.2
Pneumonic plague ,A20.2
Pneumonic plague ,A20.2
Other forms of plague ,A20.8
Plague unspecified ,A20.9
Ulceroglandular tularemia ,A21.0
Gastrointestinal tularemia ,A21.3
Pulmonary tularemia ,A21.2
Oculoglandular tularemia ,A21.1
Other forms of tularemia ,A21.8
Tularemia unspecified ,A21.9
Cutaneous anthrax ,A22.0
Pulmonary anthrax ,A22.1
Gastrointestinal anthrax ,A22.2
Anthrax sepsis ,A22.7
Other forms of anthrax ,A22.8
Anthrax unspecified ,A22.9
Brucellosis due to Brucella melitensis ,A23.0
Brucellosis due to Brucella abortus ,A23.1
Brucellosis due to Brucella suis ,A23.2
Brucellosis due to Brucella canis ,A23.3
Other brucellosis ,A23.8
Brucellosis unspecified ,A23.9
Glanders ,A24.0
Other melioidosis ,A24.3
Spirillosis ,A25.0
Streptobacillosis ,A25.1
Rat-bite fever unspecified ,A25.9
Listerial meningitis ,A32.11
Other forms of erysipeloid ,A26.8
Pasteurellosis ,A28.0
Other specified zoonotic bacterial diseases not elsewhere classified ,A28.8
Zoonotic bacterial disease unspecified ,A28.9
Lepromatous leprosy ,A30.5
Tuberculoid leprosy ,A30.1
Indeterminate leprosy ,A30.0
Borderline leprosy ,A30.3
Other forms of leprosy ,A30.8
Leprosy unspecified ,A30.9
Pulmonary mycobacterial infection ,A31.0
Cutaneous mycobacterial infection ,A31.1
Disseminated mycobacterium avium-intracellulare complex (DMAC) ,A31.2
Other mycobacterial infections ,A31.8
Mycobacterial infection unspecified ,A31.9
Pharyngeal diphtheria ,A36.0
Nasopharyngeal diphtheria ,A36.1
Other diphtheritic complications ,A36.89
Laryngeal diphtheria ,A36.2
Diphtheritic conjunctivitis ,A36.86
Diphtheritic cardiomyopathy ,A36.81
Other diphtheritic complications ,A36.89
Diphtheritic cystitis ,A36.85
Cutaneous diphtheria ,A36.3
Diphtheritic radiculomyelitis ,A36.82
Diphtheria unspecified ,A36.9
Whooping cough due to Bordetella pertussis without pneumonia ,A37.00
Whooping cough due to Bordetella parapertussis without pneumonia ,A37.10
Whooping cough due to other Bordetella species without pneumonia ,A37.80
Whooping cough unspecified species without pneumonia ,A37.90
Streptococcal pharyngitis ,J02.0
Scarlet fever uncomplicated ,A38.9
Erysipelas ,A46
Meningococcal meningitis ,A39.0
Meningococcal encephalitis ,A39.81
Meningococcemia unspecified ,A39.4
Waterhouse-Friderichsen syndrome ,A39.1
Meningococcal carditis unspecified ,A39.50
Meningococcal pericarditis ,A39.53
Meningococcal endocarditis ,A39.51
Meningococcal myocarditis ,A39.52
Meningococcal retrobulbar neuritis ,A39.82
Meningococcal arthritis ,A39.83
Other meningococcal infections ,A39.89
Meningococcal infection unspecified ,A39.9
Other tetanus ,A35
Streptococcal sepsis unspecified ,A40.9
Sepsis due to unspecified staphylococcus ,A41.2
Sepsis due to Methicillin susceptible Staphylococcus aureus ,A41.01
Sepsis due to Methicillin resistant Staphylococcus aureus ,A41.02
Sepsis due to other specified staphylococcus ,A41.1
Sepsis due to Streptococcus pneumoniae ,A40.3
Sepsis due to anaerobes ,A41.4
Gram-negative sepsis unspecified ,A41.50
Sepsis due to Hemophilus influenzae ,A41.3
Sepsis due to Escherichia coli [E. coli] ,A41.51
Sepsis due to Pseudomonas ,A41.52
Sepsis due to Serratia ,A41.53
Other Gram-negative sepsis ,A41.59
Other specified sepsis ,A41.89
Sepsis unspecified organism ,A41.9
Erythrasma ,L08.1
Pulmonary actinomycosis ,A42.0
Abdominal actinomycosis ,A42.1
Cervicofacial actinomycosis ,A42.2
Mycetoma unspecified ,B47.9
Other forms of actinomycosis ,A42.89
Actinomycosis unspecified ,A42.9
Gas gangrene ,A48.0
Other specified bacterial diseases ,A48.8
Whipple's disease ,K90.81
Other specified bacterial diseases ,A48.8
Infant botulism ,A48.51
Wound botulism ,A48.52
Infective myositis unspecified site ,M60.009
Toxic shock syndrome ,A48.3
Other specified bacterial diseases ,A48.8
Unspecified streptococcus as the cause of diseases classified elsewhere ,B95.5
Streptococcus group A as the cause of diseases classified elsewhere ,B95.0
Streptococcus group B as the cause of diseases classified elsewhere ,B95.1
Other streptococcus as the cause of diseases classified elsewhere ,B95.4
Enterococcus as the cause of diseases classified elsewhere ,B95.2
Other streptococcus as the cause of diseases classified elsewhere ,B95.4
Other streptococcus as the cause of diseases classified elsewhere ,B95.4
Unspecified staphylococcus as the cause of diseases classified elsewhere ,B95.8
Methicillin susceptible Staphylococcus aureus infection as the cause of diseases classified elsewhere ,B95.61
Methicillin resistant Staphylococcus aureus infection as the cause of diseases classified elsewhere ,B95.62
Other staphylococcus as the cause of diseases classified elsewhere ,B95.7
Streptococcus pneumoniae as the cause of diseases classified elsewhere ,B95.3
Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified elsewhere ,B96.1
Shiga toxin-producing Escherichia coli [E. coli] (STEC) O157 as the cause of diseases classified elsewhere ,B96.21
Other specified Shiga toxin-producing Escherichia coli [E. coli] (STEC) as the cause of diseases classified elsewhere ,B96.22
Unspecified Shiga toxin-producing Escherichia coli [E. coli] (STEC) as the cause of diseases classified elsewhere ,B96.23
Unspecified Escherichia coli [E. coli] as the cause of diseases classified elsewhere ,B96.20
Hemophilus influenzae [H. influenzae] as the cause of diseases classified elsewhere ,B96.3
Proteus (mirabilis) (morganii) as the cause of diseases classified elsewhere ,B96.4
Pseudomonas (aeruginosa) (mallei) (pseudomallei) as the cause of diseases classified elsewhere ,B96.5
Mycoplasma infection unspecified site ,A49.3
Bacteroides fragilis [B. fragilis] as the cause of diseases classified elsewhere ,B96.6
Clostridium perfringens [C. perfringens] as the cause of diseases classified elsewhere ,B96.7
Other specified bacterial agents as the cause of diseases classified elsewhere ,B96.89
Other specified bacterial agents as the cause of diseases classified elsewhere ,B96.89
Helicobacter pylori [H. pylori] as the cause of diseases classified elsewhere ,B96.81
Other specified bacterial agents as the cause of diseases classified elsewhere ,B96.89
Other specified bacterial agents as the cause of diseases classified elsewhere ,B96.89
Human immunodeficiency virus [HIV] disease ,B20
Other acute paralytic poliomyelitis ,A80.39
Acute nonparalytic poliomyelitis ,A80.4
Acute poliomyelitis unspecified ,A80.9
Kuru ,A81.81
Variant Creutzfeldt-Jakob disease ,A81.01
Creutzfeldt-Jakob disease unspecified ,A81.00
Subacute sclerosing panencephalitis ,A81.1
Progressive multifocal leukoencephalopathy ,A81.2
Gerstmann-Straussler-Scheinker syndrome ,A81.82
Fatal familial insomnia ,A81.83
Other atypical virus infections of central nervous system ,A81.89
Other atypical virus infections of central nervous system ,A81.89
Atypical virus infection of central nervous system unspecified ,A81.9
Enteroviral meningitis ,A87.0
Enteroviral meningitis ,A87.0
Other viral meningitis ,A87.8
Viral meningitis unspecified ,A87.9
Enteroviral exanthematous fever [Boston exanthem] ,A88.0
Lymphocytic choriomeningitis ,A87.2
Adenoviral meningitis ,A87.1
Other specified viral infections of central nervous system ,A88.8
Unspecified viral infection of central nervous system ,A89
Smallpox ,B03
Cowpox ,B08.010
Vaccinia not from vaccine ,B08.011
Pseudocowpox [milker's node] ,B08.03
Orf virus disease ,B08.02
Paravaccinia unspecified ,B08.04
Varicella encephalitis and encephalomyelitis ,B01.11
Varicella pneumonia ,B01.2
Varicella myelitis ,B01.12
Varicella meningitis ,B01.0
Other varicella complications ,B01.89
Varicella without complication ,B01.9
Zoster meningitis ,B02.1
Other postherpetic nervous system involvement ,B02.29
Postherpetic geniculate ganglionitis ,B02.21
Postherpetic trigeminal neuralgia ,B02.22
Postherpetic polyneuropathy ,B02.23
Postherpetic myelitis ,B02.24
Other postherpetic nervous system involvement ,B02.29
Other herpes zoster eye disease ,B02.39
Zoster keratitis ,B02.33
Zoster iridocyclitis ,B02.32
Other herpes zoster eye disease ,B02.39
Zoster with other complications ,B02.8
Zoster with other complications ,B02.8
Zoster with other complications ,B02.8
Zoster without complications ,B02.9
Eczema herpeticum ,B00.0
Anogenital herpesviral infection unspecified ,A60.9
Herpesviral vulvovaginitis ,A60.04
Herpesviral vulvovaginitis ,A60.04
Herpesviral infection of penis ,A60.01
Herpesviral infection of other urogenital tract ,A60.09
Herpesviral gingivostomatitis and pharyngotonsillitis ,B00.2
Herpesviral encephalitis ,B00.4
Herpesviral ocular disease unspecified ,B00.50
Other herpesviral disease of eye ,B00.59
Herpesviral keratitis ,B00.52
Herpesviral keratitis ,B00.52
Herpesviral iridocyclitis ,B00.51
Other herpesviral disease of eye ,B00.59
Disseminated herpesviral disease ,B00.7
Other herpesviral infection ,B00.89
Herpesviral hepatitis ,B00.81
Herpesviral meningitis ,B00.3
Herpesviral vesicular dermatitis ,B00.1
Herpes simplex myelitis ,B00.82
Other herpesviral infection ,B00.89
Herpesviral infection unspecified ,B00.9
Herpesviral infection unspecified ,B00.9
Measles complicated by encephalitis ,B05.0
Measles complicated by pneumonia ,B05.2
Measles complicated by otitis media ,B05.3
Measles keratitis and keratoconjunctivitis ,B05.81
Measles complicated by meningitis ,B05.1
Other measles complications ,B05.89
Measles without complication ,B05.9
Rubella with neurological complication unspecified ,B06.00
Rubella encephalitis ,B06.01
Other neurological complications of rubella ,B06.09
Rubella arthritis ,B06.82
Other rubella complications ,B06.89
Other rubella complications ,B06.89
Rubella without complication ,B06.9
Erythema infectiosum [fifth disease] ,B08.3
Infantile papular acrodermatitis [Gianotti-Crosti] ,L44.4
Unspecified viral infection characterized by skin and mucous membrane lesions ,B09
Exanthema subitum [sixth disease] unspecified ,B08.20
Exanthema subitum [sixth disease] due to human herpesvirus 6 ,B08.21
Exanthema subitum [sixth disease] due to human herpesvirus 7 ,B08.22
Human herpesvirus 6 encephalitis ,B10.01
Other human herpesvirus encephalitis ,B10.09
Human herpesvirus 6 infection ,B10.81
Human herpesvirus 7 infection ,B10.82
Other human herpesvirus infection ,B10.89
Other orthopoxvirus infections ,B08.09
Monkeypox ,B04
Other orthopoxvirus infections ,B08.09
Parapoxvirus infection unspecified ,B08.60
Bovine stomatitis ,B08.61
Sealpox ,B08.62
Other parapoxvirus infections ,B08.69
Yatapoxvirus infection unspecified ,B08.70
Tanapox virus disease ,B08.71
Yaba pox virus disease ,B08.72
Other specified viral infections characterized by skin and mucous membrane lesions ,B08.8
Other specified viral infections characterized by skin and mucous membrane lesions ,B08.8
Sylvatic yellow fever ,A95.0
Urban yellow fever ,A95.1
Yellow fever unspecified ,A95.9
Dengue fever [classical dengue] ,A90
Japanese encephalitis ,A83.0
Western equine encephalitis ,A83.1
Eastern equine encephalitis ,A83.2
St Louis encephalitis ,A83.3
Australian encephalitis ,A83.4
California encephalitis ,A83.5
Other mosquito-borne viral encephalitis ,A83.8
Mosquito-borne viral encephalitis unspecified ,A83.9
Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis] ,A84.0
Other tick-borne viral encephalitis ,A84.8
Central European tick-borne encephalitis ,A84.1
Other tick-borne viral encephalitis ,A84.8
Tick-borne viral encephalitis unspecified ,A84.9
Arthropod-borne viral encephalitis unspecified ,A85.2
Crimean-Congo hemorrhagic fever ,A98.0
Omsk hemorrhagic fever ,A98.1
Kyasanur Forest disease ,A98.2
Other specified viral hemorrhagic fevers ,A98.8
Dengue hemorrhagic fever ,A91
Other specified viral hemorrhagic fevers ,A98.8
Unspecified viral hemorrhagic fever ,A99
Sandfly fever ,A93.1
Colorado tick fever ,A93.2
Venezuelan equine fever ,A92.2
Other specified mosquito-borne viral fevers ,A92.8
West Nile virus infection unspecified ,A92.30
West Nile virus infection with encephalitis ,A92.31
West Nile virus infection with other neurologic manifestation ,A92.32
West Nile virus infection with other complications ,A92.39
Other specified arthropod-borne viral fevers ,A93.8
Unspecified arthropod-borne viral fever ,A94
Hepatitis A with hepatic coma ,B15.0
Hepatitis A without hepatic coma ,B15.9
Unspecified viral hepatitis B with hepatic coma ,B19.11
Acute hepatitis B with delta-agent with hepatic coma ,B16.0
Chronic viral hepatitis B without delta-agent ,B18.1
Chronic viral hepatitis B with delta-agent ,B18.0
Unspecified viral hepatitis B without hepatic coma ,B19.10
Acute hepatitis B with delta-agent without hepatic coma ,B16.1
Chronic viral hepatitis B without delta-agent ,B18.1
Chronic viral hepatitis B with delta-agent ,B18.0
Acute hepatitis C with hepatic coma ,B17.11
Acute delta-(super) infection of hepatitis B carrier ,B17.0
Acute hepatitis E ,B17.2
Chronic viral hepatitis C ,B18.2
Other specified acute viral hepatitis ,B17.8
Acute hepatitis C without hepatic coma ,B17.10
Acute delta-(super) infection of hepatitis B carrier ,B17.0
Acute hepatitis E ,B17.2
Chronic viral hepatitis C ,B18.2
Other specified acute viral hepatitis ,B17.8
Unspecified viral hepatitis with hepatic coma ,B19.0
Unspecified viral hepatitis C without hepatic coma ,B19.20
Unspecified viral hepatitis C with hepatic coma ,B19.21
Unspecified viral hepatitis without hepatic coma ,B19.9
Rabies unspecified ,A82.9
Mumps orchitis ,B26.0
Mumps meningitis ,B26.1
Mumps encephalitis ,B26.2
Mumps pancreatitis ,B26.3
Mumps hepatitis ,B26.81
Mumps polyneuropathy ,B26.84
Mumps myocarditis ,B26.82
Other mumps complications ,B26.89
Mumps without complication ,B26.9
Chlamydia psittaci infections ,A70
Pneumonia in diseases classified elsewhere ,J17
Chlamydia psittaci infections ,A70
Chlamydia psittaci infections ,A70
Chlamydia psittaci infections ,A70
Enteroviral vesicular pharyngitis ,B08.5
Epidemic myalgia ,B33.0
Viral carditis unspecified ,B33.20
Viral pericarditis ,B33.23
Viral endocarditis ,B33.21
Viral myocarditis ,B33.22
Enteroviral vesicular stomatitis with exanthem ,B08.4
Enterovirus infection unspecified ,B34.1
Infectious mononucleosis unspecified without complication ,B27.90
Initial stage of trachoma ,A71.0
Active stage of trachoma ,A71.1
Trachoma unspecified ,A71.9
Chlamydial conjunctivitis ,A74.0
Keratoconjunctivitis due to adenovirus ,B30.0
Viral pharyngoconjunctivitis ,B30.2
Conjunctivitis due to adenovirus ,B30.1
Acute epidemic hemorrhagic conjunctivitis (enteroviral) ,B30.3
Other viral conjunctivitis ,B30.8
Chlamydial conjunctivitis ,A74.0
Viral conjunctivitis unspecified ,B30.9
Molluscum contagiosum ,B08.1
Viral wart unspecified ,B07.9
Anogenital (venereal) warts ,A63.0
Plantar wart ,B07.0
Other viral warts ,B07.8
Other specified viral diseases ,B33.8
Cat-scratch disease ,A28.1
Other specified viral infections characterized by skin and mucous membrane lesions ,B08.8
Cytomegaloviral disease unspecified ,B25.9
Hemorrhagic fever with renal syndrome ,A98.5
Other arenaviral hemorrhagic fevers ,A96.8
Epidemic vertigo ,A88.1
Vomiting without nausea ,R11.11
Other chlamydial diseases ,A74.89
Other specified viral diseases ,B33.8
Adenovirus as the cause of diseases classified elsewhere ,B97.0
Echovirus as the cause of diseases classified elsewhere ,B97.12
Coxsackievirus as the cause of diseases classified elsewhere ,B97.11
Other viral agents as the cause of diseases classified elsewhere ,B97.89
Papillomavirus as the cause of diseases classified elsewhere ,B97.7
Unspecified retrovirus as the cause of diseases classified elsewhere ,B97.30
Human T-cell lymphotrophic virus type I [HTLV-I] as the cause of diseases classified elsewhere ,B97.33
Human T-cell lymphotrophic virus type II [HTLV-II] as the cause of diseases classified elsewhere ,B97.34
Human immunodeficiency virus type 2 [HIV 2] as the cause of diseases classified elsewhere ,B97.35
Retrovirus infections not elsewhere classified ,B33.3
Respiratory syncytial virus as the cause of diseases classified elsewhere ,B97.4
Hantavirus (cardio)-pulmonary syndrome [HPS] [HCPS] ,B33.4
SARS-associated coronavirus as the cause of diseases classified elsewhere ,B97.21
Parvovirus infection unspecified ,B34.3
Other chlamydial diseases ,A74.89
Other specified viral diseases ,B33.8
Chlamydial infection unspecified ,A74.9
Other viral agents as the cause of diseases classified elsewhere ,B97.89
Epidemic louse-borne typhus fever due to Rickettsia prowazekii ,A75.0
Typhus fever due to Rickettsia typhi ,A75.2
Recrudescent typhus [Brill's disease] ,A75.1
Typhus fever due to Rickettsia tsutsugamushi ,A75.3
Typhus fever unspecified ,A75.9
Spotted fever due to Rickettsia rickettsii ,A77.0
Spotted fever due to Rickettsia conorii ,A77.1
Spotted fever due to Rickettsia siberica ,A77.2
Spotted fever due to Rickettsia australis ,A77.3
Ehrlichiosis unspecified ,A77.40
Ehrlichiosis chafeensis [E. chafeensis] ,A77.41
Other ehrlichiosis ,A77.49
Other spotted fevers ,A77.8
Rickettsiosis unspecified ,A79.9
Q fever ,A78
Trench fever ,A79.0
Rickettsialpox due to Rickettsia akari ,A79.1
Other specified rickettsioses ,A79.89
Rickettsiosis unspecified ,A79.9
Plasmodium falciparum malaria unspecified ,B50.9
Plasmodium vivax malaria without complication ,B51.9
Plasmodium malariae malaria without complication ,B52.9
Plasmodium ovale malaria ,B53.0
Malaria due to simian plasmodia ,B53.1
Plasmodium vivax malaria without complication ,B51.9
Unspecified malaria ,B54
Other malaria not elsewhere classified ,B53.8
Other severe and complicated Plasmodium falciparum malaria ,B50.8
Plasmodium falciparum malaria with cerebral complications ,B50.0
Visceral leishmaniasis ,B55.0
Cutaneous leishmaniasis ,B55.1
Cutaneous leishmaniasis ,B55.1
Cutaneous leishmaniasis ,B55.1
Cutaneous leishmaniasis ,B55.1
Mucocutaneous leishmaniasis ,B55.2
Leishmaniasis unspecified ,B55.9
Acute Chagas' disease with heart involvement ,B57.0
Chagas' disease (chronic) with other organ involvement ,B57.5
Acute Chagas' disease without heart involvement ,B57.1
Gambiense trypanosomiasis ,B56.0
Rhodesiense trypanosomiasis ,B56.1
African trypanosomiasis unspecified ,B56.9
African trypanosomiasis unspecified ,B56.9
Louse-borne relapsing fever ,A68.0
Tick-borne relapsing fever ,A68.1
Relapsing fever unspecified ,A68.9
Bartonellosis unspecified ,A44.9
Lyme disease unspecified ,A69.20
Babesiosis ,B60.0
Other specified protozoal diseases ,B60.8
Unspecified protozoal disease ,B64
Other early congenital syphilis symptomatic ,A50.09
Early congenital syphilis latent ,A50.1
Early congenital syphilis unspecified ,A50.2
Late congenital syphilitic interstitial keratitis ,A50.31
Late congenital neurosyphilis unspecified ,A50.40
Late congenital syphilitic encephalitis ,A50.42
Late congenital syphilitic meningitis ,A50.41
Other late congenital neurosyphilis ,A50.49
Other late congenital syphilis symptomatic ,A50.59
Late congenital syphilis latent ,A50.6
Late congenital syphilis unspecified ,A50.7
Congenital syphilis unspecified ,A50.9
Primary genital syphilis ,A51.0
Primary anal syphilis ,A51.1
Primary syphilis of other sites ,A51.2
Other secondary syphilis of skin ,A51.39
Other secondary syphilitic conditions ,A51.49
Secondary syphilitic oculopathy ,A51.43
Secondary syphilitic oculopathy ,A51.43
Secondary syphilitic oculopathy ,A51.43
Secondary syphilitic osteopathy ,A51.46
Secondary syphilitic hepatitis ,A51.45
Other secondary syphilitic conditions ,A51.49
Other secondary syphilitic conditions ,A51.49
Secondary syphilitic meningitis ,A51.41
Syphilitic alopecia ,A51.32
Other secondary syphilitic conditions ,A51.49
Other secondary syphilitic conditions ,A51.49
Early syphilis latent ,A51.5
Early syphilis latent ,A51.5
Syphilitic aneurysm of aorta ,A52.01
Syphilitic aortitis ,A52.02
Syphilitic endocarditis ,A52.03
Other syphilitic heart involvement ,A52.06
Other syphilitic heart involvement ,A52.06
Other cardiovascular syphilis ,A52.09
Cardiovascular syphilis unspecified ,A52.00
Tabes dorsalis ,A52.11
General paresis ,A52.17
Late syphilitic meningitis ,A52.13
Asymptomatic neurosyphilis ,A52.2
Late syphilitic encephalitis ,A52.14
Other symptomatic neurosyphilis ,A52.19
Other symptomatic neurosyphilis ,A52.19
Late syphilitic neuropathy ,A52.15
Late syphilitic neuropathy ,A52.15
Late syphilitic neuropathy ,A52.15
Other symptomatic neurosyphilis ,A52.19
Other symptomatic neurosyphilis ,A52.19
Neurosyphilis unspecified ,A52.3
Late syphilitic oculopathy ,A52.71
Syphilis of lung and bronchus ,A52.72
Syphilis of liver and other viscera ,A52.74
Syphilis of liver and other viscera ,A52.74
Syphilis of kidney and ureter ,A52.75
Syphilis of bone and joint ,A52.77
Syphilis of other musculoskeletal tissue ,A52.78
Syphilis of other musculoskeletal tissue ,A52.78
Symptomatic late syphilis of other respiratory organs ,A52.73
Other symptomatic late syphilis ,A52.79
Late syphilis latent ,A52.8
Late syphilis unspecified ,A52.9
Latent syphilis unspecified as early or late ,A53.0
Syphilis unspecified ,A53.9
Gonococcal infection of lower genitourinary tract unspecified ,A54.00
Other gonococcal genitourinary infections ,A54.29
Gonococcal cystitis and urethritis unspecified ,A54.01
Gonococcal prostatitis ,A54.22
Gonococcal infection of other male genital organs ,A54.23
Gonococcal infection of other male genital organs ,A54.23
Gonococcal cervicitis unspecified ,A54.03
Gonococcal female pelvic inflammatory disease ,A54.24
Other gonococcal genitourinary infections ,A54.29
Gonococcal infection of kidney and ureter ,A54.21
Gonococcal infection of lower genitourinary tract unspecified ,A54.00
Other gonococcal genitourinary infections ,A54.29
Gonococcal cystitis and urethritis unspecified ,A54.01
Gonococcal prostatitis ,A54.22
Gonococcal infection of other male genital organs ,A54.23
Gonococcal infection of other male genital organs ,A54.23
Gonococcal cervicitis unspecified ,A54.03
Gonococcal female pelvic inflammatory disease ,A54.24
Other gonococcal genitourinary infections ,A54.29
Other gonococcal genitourinary infections ,A54.29
Gonococcal conjunctivitis ,A54.31
Gonococcal iridocyclitis ,A54.32
Other gonococcal eye infection ,A54.39
Gonococcal keratitis ,A54.33
Other gonococcal eye infection ,A54.39
Gonococcal arthritis ,A54.42
Gonococcal infection of other musculoskeletal tissue ,A54.49
Gonococcal infection of other musculoskeletal tissue ,A54.49
Gonococcal spondylopathy ,A54.41
Gonococcal infection of musculoskeletal system unspecified ,A54.40
Gonococcal pharyngitis ,A54.5
Gonococcal infection of anus and rectum ,A54.6
Other gonococcal infections ,A54.89
Gonococcal meningitis ,A54.81
Gonococcal heart infection ,A54.83
Gonococcal peritonitis ,A54.85
Other gonococcal infections ,A54.89
Chancroid ,A57
Chlamydial lymphogranuloma (venereum) ,A55
Granuloma inguinale ,A58
Reiter's disease unspecified site ,M02.30
Nonspecific urethritis ,N34.1
Nonspecific urethritis ,N34.1
Nonspecific urethritis ,N34.1
Other chlamydial genitourinary infection ,A56.19
Chlamydial infection of pharynx ,A56.4
Chlamydial infection of anus and rectum ,A56.3
Chlamydial infection of lower genitourinary tract unspecified ,A56.00
Other chlamydial genitourinary infection ,A56.19
Chlamydial infection of genitourinary tract unspecified ,A56.2
